number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
20,0.9909,2026-05-25 12:45:00.836950,2026-05-25 12:45:10.400263,0 days 00:00:09.563313,0.5704087991011485,2.021074564505327,0.10321481538865934,7,111,0.8892814977701591,5.0917096479029595,0.36058878112006526,COMPLETE
21,0.9912,2026-05-25 12:45:10.402554,2026-05-25 12:45:18.481405,0 days 00:00:08.078851,0.9971791735236053,4.873498117293917,0.32542609846135295,8,152,0.953032311652228,8.814164868013105,0.9757193444657131,COMPLETE
22,0.9909,2026-05-25 12:45:18.484501,2026-05-25 12:45:26.413221,0 days 00:00:07.928720,0.8993710217325032,4.304872185675533,0.3390153017078724,10,147,0.998821092904484,7.955205894611177,0.9587927189086984,COMPLETE
23,0.9914,2026-05-25 12:45:26.414599,2026-05-25 12:45:36.505870,0 days 00:00:10.091271,0.9267030970173938,3.7154237506280903,0.34160667790213745,6,205,0.8118494418411659,9.524743341417555,0.8092979078980006,COMPLETE
24,0.9909,2026-05-25 12:45:36.508342,2026-05-25 12:45:42.613108,0 days 00:00:06.104766,0.8183275923548704,2.830588989037495,0.25024737480072384,8,84,0.9004286538912505,7.120516972112525,0.6041755374441831,COMPLETE
25,0.9917,2026-05-25 12:45:42.620348,2026-05-25 12:45:58.103707,0 days 00:00:15.483359,0.35751796604564834,4.861913775325237,0.2950701482638224,9,248,0.697600988887557,8.391342959679648,0.4520899031750027,COMPLETE
26,0.991,2026-05-25 12:45:58.105287,2026-05-25 12:46:11.254162,0 days 00:00:13.148875,0.3730726256818342,4.974528481610305,0.2948898230222817,9,256,0.7059172953241106,6.140528112022805,0.47409463821466885,COMPLETE
27,0.9912,2026-05-25 12:46:11.260440,2026-05-25 12:46:26.602012,0 days 00:00:15.341572,0.22016850462534227,2.749611567297396,0.35981664796969137,10,268,0.5240153597725606,8.172771684525948,0.4205809817195429,COMPLETE
28,0.9917,2026-05-25 12:46:26.604849,2026-05-25 12:46:44.093258,0 days 00:00:17.488409,0.6488549178174672,1.1248044858405515,0.249335301949871,9,230,0.6640681056530459,10.210071287322373,0.689465477941553,COMPLETE
29,0.9923,2026-05-25 12:46:44.097103,2026-05-25 12:47:02.588312,0 days 00:00:18.491209,0.38117175410012644,0.7343668706341724,0.1891680078408332,9,230,0.39693942619866696,10.176033723488487,0.7053035760373845,COMPLETE
30,0.9914,2026-05-25 12:47:02.590086,2026-05-25 12:47:27.578499,0 days 00:00:24.988413,0.40420354103551687,0.0879704909870771,0.18112506899157774,10,275,0.3591689500938272,9.127278104152253,0.2924139545407912,COMPLETE
31,0.9919,2026-05-25 12:47:27.580520,2026-05-25 12:47:41.889147,0 days 00:00:14.308627,0.507045705899051,0.9738887525718739,0.2408984269793146,9,230,0.6844170846757268,10.40726326966374,0.6803996439482326,COMPLETE
32,0.9917,2026-05-25 12:47:41.890665,2026-05-25 12:47:58.010943,0 days 00:00:16.120278,0.4981024192397467,0.6992412788092525,0.27438547988365863,9,239,0.5513139127884199,10.21091723376079,0.5739486996819473,COMPLETE
33,0.9918,2026-05-25 12:47:58.013316,2026-05-25 12:48:14.996035,0 days 00:00:16.982719,0.4230604934629333,0.4812211571155764,0.1785237114726474,10,208,0.4386470246196723,10.726525225007974,0.7060457866879339,COMPLETE
34,0.9916,2026-05-25 12:48:14.998215,2026-05-25 12:48:30.124994,0 days 00:00:15.126779,0.4152331125891398,0.5009231064190762,0.17540471295703125,10,207,0.29497121700406276,10.905447081781126,0.8712000862183191,COMPLETE
35,0.9922,2026-05-25 12:48:30.126920,2026-05-25 12:48:44.595102,0 days 00:00:14.468182,0.5296981141573335,0.5618312210321281,0.11846655074695905,10,183,0.45546318032442945,10.14643326903305,0.7379436374642685,COMPLETE
36,0.9916,2026-05-25 12:48:44.596640,2026-05-25 12:48:56.874364,0 days 00:00:12.277724,0.5154430662000893,1.0091546188029858,0.10350946804670785,10,185,0.3690352191534461,9.509247886069158,0.7893234627988758,COMPLETE
37,0.991,2026-05-25 12:48:56.875988,2026-05-25 12:49:04.068610,0 days 00:00:07.192622,0.2518193929513088,1.477155357969819,0.12999145746860033,9,176,0.5807570252191399,1.2205783815518245,0.6375727190581558,COMPLETE
38,0.9919,2026-05-25 12:49:04.070372,2026-05-25 12:49:13.261210,0 days 00:00:09.190838,0.6227585991790172,0.6243548251642631,0.19382762051954033,8,230,0.2400631527461983,10.042170553878574,0.7375203550705592,COMPLETE
39,0.9914,2026-05-25 12:49:13.262867,2026-05-25 12:49:20.573201,0 days 00:00:07.310334,0.5271086320031677,0.9148789391269957,0.14176926692417618,10,167,0.6206071400916621,10.256172329564938,0.5738186899751186,COMPLETE
40,0.9916,2026-05-25 12:49:20.574779,2026-05-25 12:49:30.624909,0 days 00:00:10.050130,0.6664120672184584,0.29750079655851036,0.12445715522858791,7,196,0.5074292474165958,6.678320419094476,0.7969446505330571,COMPLETE
41,0.9917,2026-05-25 12:49:30.626629,2026-05-25 12:49:37.663131,0 days 00:00:07.036502,0.5824221570367433,0.7602393090121238,0.2275873724332328,8,225,0.18363246702329272,10.017816652014547,0.7306899314759369,COMPLETE
42,0.9919,2026-05-25 12:49:37.664571,2026-05-25 12:49:43.680763,0 days 00:00:06.016192,0.6289822020708593,1.2884893973324691,0.19333420141248187,9,235,0.2552927618927988,9.240465998118358,0.6697578568853864,COMPLETE
43,0.9917,2026-05-25 12:49:43.682317,2026-05-25 12:49:49.014527,0 days 00:00:05.332210,0.45441404341271086,1.7843732953592433,0.20110253074156126,8,259,0.3935777710443644,10.409141548515354,0.8879935008178086,COMPLETE
44,0.992,2026-05-25 12:49:49.016003,2026-05-25 12:49:58.866899,0 days 00:00:09.850896,0.7450491971396226,0.34301099283431413,0.161211791519714,9,217,0.2251581766227113,9.720953940376475,0.521909154412917,COMPLETE
45,0.9919,2026-05-25 12:49:58.868900,2026-05-25 12:50:10.292901,0 days 00:00:11.424001,0.7398668691046129,0.2729857838315646,0.15933365608456243,10,216,0.3288573967134454,9.385378708211096,0.3815705799913378,COMPLETE
46,0.9913,2026-05-25 12:50:10.294461,2026-05-25 12:50:16.459129,0 days 00:00:06.164668,0.5436920333605286,0.0017509034637747112,0.23502818899249955,4,198,0.11354096480341586,5.329074797512867,0.5467494125487965,COMPLETE
47,0.9916,2026-05-25 12:50:16.460838,2026-05-25 12:50:21.732836,0 days 00:00:05.271998,0.3452756962017336,1.3781753570875728,0.27505160871677925,9,185,0.4396378687297515,8.69422753753883,0.523480622344101,COMPLETE
48,0.992,2026-05-25 12:50:21.734359,2026-05-25 12:50:32.604570,0 days 00:00:10.870211,0.46744941951952235,0.3462008944262855,0.1607769372107389,10,211,0.5811823965240792,10.99516512640675,0.5004332251928677,COMPLETE
49,0.9917,2026-05-25 12:50:32.606074,2026-05-25 12:50:43.243176,0 days 00:00:10.637102,0.47058393269483123,0.3472446048149926,0.1608073768925557,10,214,0.567281310026045,10.99794235450174,0.4970359704314963,COMPLETE
